Description_short,Number,Number_format,Source,Notes,Caption
Total civilian (non-military) public employees in the U.S. in 2020,29448111,"29,448,111",2020 Census data,doesn't include active members of the armed forces,
Total (non-contract) Amazon employees in the U.S.,950000,"950,000",https://ir.aboutamazon.com/news-release/news-release-details/2021/Amazon.com-Announces-Second-Quarter-Results-2dcdc6a32/default.aspx,doesn't include contract workers and drivers/ap-based workers,
Number of people residing in NYC,8335897,"8,335,897",https://www.census.gov/quickfacts/fact/table/newyorkcitynewyork/PST045222,,
Number of people residing in the United States,333287557,"333,287,557",https://www.census.gov/quickfacts/fact/table/US/PST045222,,
"Maximum number of dollars earned annually, to be below the U.S. Federal Poverty Line ",14579,"14,579",https://www.healthcare.gov/glossary/federal-poverty-level-fpl/,For an individual as determined by the department of health and human services ,
Number of U.S. residents below the federal poverty line,37900000,"37,900,000",https://www.census.gov/content/dam/Census/library/publications/2022/demo/p60-277.pdf,,
"Minimum number of dollars earned annually, per household, to be in America's richest 1%",652657,"652,657",https://smartasset.com/data-studies/top-1-percent-income-2023,,
Number of dollars earned in a year working minimum wage full-time,14500,"14,500",,,
Number of dollars earned by the median household in the U.S. in a year ,75000,"75,000",https://smartasset.com/data-studies/top-1-percent-income-2023,,
Number of books in the Library of Congress,25490000,"25,490,000",https://www.loc.gov/about/general-information/#year-at-a-glance,,
Number of days since the assassination of Caesar,723463,"723,463",https://chat.openai.com/share/d65600f7-0044-4716-b95a-919ee78d40bf,,
Cataloged species of insects,1013825,"1,013,825",https://www.annualreviews.org/doi/pdf/10.1146/annurev-ento-020117-043348,,
Estimated total species of insects,5500000,"5,500,000",https://www.annualreviews.org/doi/pdf/10.1146/annurev-ento-020117-043348,,
Pounds of hot dogs sold retail in the U.S. in 2020,916900000,"916,900,000","https://www.hot-dog.org/media/consumption-stats#:~:text=The%20Nielsen%20Company%20records%20data,%243%20billion%20in%20retail%20sales.",,
Estimated number of days since the first appearnce of Homo Sapiens ,273937500,"273,937,500",https://www.smithsonianmag.com/science-nature/essential-timeline-understanding-evolution-homo-sapiens-180976807/,,
Estimated number of days since the first appearnce of written language,1982160,"1,982,160",https://www.getty.edu/news/where-did-writing-come-from/,,
Number of dollars Jeff Bezos adds to his wealth in an 8-hour work day,14400000,"14,400,000",https://www.nytimes.com/interactive/2022/04/07/magazine/jeff-bezos-net-worth.html,,
Number of days since the appearance of the first billionaire,78238,"78,238",https://www.nytimes.com/1916/09/29/archives/standard-at-2014-makes-its-head-a-billionaire-john-d-rockefellers.html,,
Number of American bombs dropped on Afghanistan 2001–2021,85108,"85,108",https://www.salon.com/2022/01/11/the-us-drops-an-average-of-46-bombs-a-day-why-should-the-world-see-us-as-a-force-for-peace/,,
"Number of bombs dropped on Gaza since Oct. 7, 2023 (as of Dec. 14, 2023)",29000,"29,000",https://www.cnn.com/2023/12/13/politics/intelligence-assessment-dumb-bombs-israel-gaza/index.html,,
Distance to the Sun in miles,91943000,"91,943,000",https://theplanets.org/distances-between-planets/,,
Circumference of the Earth in miles,24902,"24,902",https://theplanets.org/distances-between-planets/,,
Distance to Mars in miles ,48678219,"48,678,219",https://theplanets.org/distances-between-planets/,,
Distance to Jupiter in miles,390674710,"390,674,710",https://theplanets.org/distances-between-planets/,,
Distance to Saturn in miles ,792248270,"792,248,270",https://theplanets.org/distances-between-planets/,,
"Distance from Portland, Maine to Miami in miles",1356,"1,356","https://www.distance.to/Miami/Portland,Maine,United-States",,
"Distance from Portland, Oregon to Miami in miles",3259,"3,259","https://www.distance.to/Miami/Portland,OR,USA",,
Number of pixels in this rectangle,1000000000,"1,000,000,000",,,
"Total wealth in dollars, per household, to be in America's richest 1%",11100000,"11,100,000",,,
Number of dollars spent in a year by the average American household,87432,"87,432",https://www.bls.gov/opub/reports/consumer-expenditures/2021/home.htm,,
Number of minimum wage workers a billionaire could hire for an 8-hour day of work,17241379,"17,241,379",,,
